X_cm,Y_cm,Temperature_C
0,4.0,24.253646851
0,4.1000000000000005,24.099740982
0,4.2,24.151065826
0,4.3,24.284402847
0,4.4,24.335641861
0,4.5,24.468753815
0,4.6000000000000005,24.397098541
0,4.7,24.376617432
0,4.800000000000001,24.550590515
0,4.9,24.86713028
0,0.0,74.986457825
0,0.1,73.174743652
0,0.2,62.978851318
0,0.30000000000000004,50.761745453
0,0.4,41.517555237
0,0.5,34.856719971
0,0.6000000000000001,30.756677628
0,0.7000000000000001,28.122819901
0,0.8,26.95800972
0,0.9,25.912416458
0,1.0,25.3859272
0,1.1,25.314863205
0,1.2000000000000002,24.969047546
0,1.3,24.652797699
0,1.4000000000000001,24.581262589
0,1.5,24.47898674
0,1.6,24.468753815
0,1.7000000000000002,24.304901123
0,1.8,24.3561306
0,1.9000000000000001,24.376617432
0,2.0,24.233139038
0,2.1,24.222883224
0,2.2,24.304901123
0,2.3000000000000003,24.315149307
0,2.4000000000000004,24.12027359
0,2.5,24.294652939
0,2.6,24.233139038
0,2.7,24.058662415
0,2.8000000000000003,24.007293701
0,2.9000000000000004,24.089471817
0,3.0,24.181850433
0,3.1,24.222883224
0,3.2,24.366374969
0,3.3000000000000003,24.386857986
0,3.4000000000000004,24.519908905
0,3.5,24.294652939
0,3.6,24.386857986
0,3.7,24.417575836
0,3.8000000000000003,24.427814484
0,3.9000000000000004,24.335641861
0,4.0,24.397098541
0,4.1000000000000005,24.366374969
0,4.2,24.540363312
0,4.3,24.448286057
0,4.4,24.47898674
0,4.5,24.499448776
0,4.6000000000000005,24.5710392
0,4.7,24.458520889
0,4.800000000000001,24.714078903
0,4.9,24.938482285
0,0.0,184.571762085
0,0.1,180.504653931
0,0.2,160.989959717
0,0.30000000000000004,135.237625122
0,0.4,109.790710449
0,0.5,88.262329102
0,0.6000000000000001,70.187179565
0,0.7000000000000001,56.556167603
0,0.8,46.864028931
0,0.9,39.768718719
0,1.0,34.688285828
0,1.1,31.326431274
0,1.2000000000000002,28.85341835
0,1.3,27.377527237
0,1.4000000000000001,26.325786591
0,1.5,25.740568161
0,1.6,25.335172653
0,1.7000000000000002,24.999603271
0,1.8,24.805934906
0,1.9000000000000001,24.581262589
0,2.0,24.632364273
0,2.1,24.468753815
0,2.2,24.335641861
0,2.3000000000000003,24.366374969
0,2.4000000000000004,24.233139038
0,2.5,24.12027359
0,2.6,24.181850433
0,2.7,24.294652939
0,2.8000000000000003,24.140804291
0,2.9000000000000004,24.192110062
0,3.0,24.212625504
0,3.1,24.202367783
0,3.2,24.3561306
0,3.3000000000000003,24.458520889
0,3.4000000000000004,24.212625504
0,3.5,24.34588623
0,3.6,24.284402847
0,3.7,24.468753815
0,3.8000000000000003,24.325395584
0,3.9000000000000004,24.253646851
0,4.0,24.274150848
0,4.1000000000000005,24.274150848
0,4.2,24.47898674
0,4.3,24.376617432
0,4.4,24.468753815
0,4.5,24.315149307
0,4.6000000000000005,24.366374969
0,4.7,24.489219666
0,4.800000000000001,24.714078903
0,4.9,24.805934906
