Sample_Type,View,X_cm,Y_cm,Time_s,Temperature_C
0cb_70W,Top,0.7,0.0,30,23.809
0cb_70W,Top,0.7333333333333334,0.0,30,23.516
0cb_70W,Top,0.7666666666666667,0.0,30,24.065
0cb_70W,Top,0.3666666666666667,0.0,30,24.502
0cb_70W,Top,0.1,0.0,30,30.762
0cb_70W,Side,0.0,0.125,30,33.549850464
0cb_70W,Side,0.0,0.47500000000000003,30,31.336065292
0cb_70W,Side,0.0,0.25,30,32.638828278
0cb_70W,Side,0.0,0.2625,30,33.370098114
0cb_70W,Side,0.0,0.275,30,33.142654419
0cb_70W,Side,0.0,0.28750000000000003,30,33.123680115
0cb_70W,Side,0.0,0.30000000000000004,30,32.562591553
0cb_70W,Side,0.0,0.3125,30,31.883834839
0cb_70W,Side,0.0,0.325,30,31.297529221
0cb_70W,Side,0.0,0.3375,30,30.930797577
0cb_70W,Side,0.0,0.0,30,39.741760254
0cb_70W,Side,0.0,0.0125,30,37.831016541
0cb_70W,Side,0.0,0.025,30,34.641456604
0cb_70W,Side,0.0,0.037500000000000006,30,32.829204559
0cb_70W,Side,0.0,0.05,30,31.864658356
0cb_70W,Side,0.0,0.0625,30,31.538173676
0cb_70W,Side,0.0,0.07500000000000001,30,31.461219788
0cb_70W,Side,0.0,0.08750000000000001,30,31.874246597
0cb_70W,Side,0.0,0.1,30,32.285827637
0cb_70W,Side,0.0,0.48750000000000004,30,32.190238953
0cb_70W,Side,0.0,0.1125,30,32.762607574
0cb_70W,Side,0.0,0.4625,30,30.843770981
0cb_70W,Side,0.0,0.45,30,30.679208755
0cb_70W,Side,0.0,0.4375,30,30.640455246
0cb_70W,Side,0.0,0.42500000000000004,30,30.78571701
0cb_70W,Side,0.0,0.41250000000000003,30,31.143255234
0cb_70W,Side,0.0,0.4,30,31.181842804
0cb_70W,Side,0.0,0.3875,30,30.959791183
0cb_70W,Side,0.0,0.375,30,30.746997833
0cb_70W,Side,0.0,0.23750000000000002,30,32.419517517
0cb_70W,Side,0.0,0.225,30,32.228481293
0cb_70W,Side,0.0,0.21250000000000002,30,32.35269165
0cb_70W,Side,0.0,0.2,30,33.161621094
0cb_70W,Side,0.0,0.36250000000000004,30,30.659833908
0cb_70W,Side,0.0,0.1375,30,33.955661774
0cb_70W,Side,0.0,0.15000000000000002,30,34.078075409
0cb_70W,Side,0.0,0.35000000000000003,30,30.853443146
0cb_70W,Side,0.0,0.17500000000000002,30,33.521484375
0cb_70W,Side,0.0,0.1875,30,33.30380249
0cb_70W,Side,0.0,0.1625,30,33.955661774
